orientador,departamento,unidade,centro,total_planos,total_vagas_remuneradas,areas_cnpq,codigos_projetos,editais,ids_oportunidades,titulos_planos
FERNANDO JOSE CAMELLO DE LIMA,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,3,0.0,Morfologia,PVCB4702-2026,Edital 01 Pibic Ufal 2026-2027,98379577; 98379579; 98379582,Modelagem preditiva da inclinação do plano de Bolton a partir de suturas craniofaciais | Comparação da inclinação do plano de Bolton entre sexos e tipos faciais. | Padronização morfométrica e confiabilidade das mensurações craniofaciais.
FRANCIEL BATISTA FELIX,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,1,1.0,Biologia Geral,PVCB5049-2026,Edital 01 Pibic Ufal 2026-2027,98380329,Efeito do triterpeno uval na capacidade eferocítica de macrófagos in vitro
FRANCISCO DE ASSIS COSTA,FACULDADE DE MEDICINA,FAMED,FAMED,6,6.0,Medicina,PVFM4723-2026; PVFM4712-2026,Edital 01 Pibic Ufal 2026-2027; Edital 02 Pibic Ações Afirmativas Ufal 2026-2027,98379605; 98379606; 98379607; 98379608; 98379631; 98379632,COORDENAÇÃO OPERACIONAL E GESTÃO DE BANCO DE DADOS EM ESTUDO DE COORTE SOBRE ANÁLISE DA ONDA DE PULSO NA GESTAÇÃO | ACOMPANHAMENTO LONGITUDINAL DE GESTANTES E REGISTRO DE DESFECHOS OBSTÉTRICOS EM ESTUDO DE ALTERAÇÕES VASCULARES NA GRAVIDEZ | REVISÃO DA LITERATURA E ANÁLISE BIOESTATÍSTICA DA ANÁLISE DA ONDA DE PULSO COMO PREDITOR DE PRÉ-ECLÂMPSIA | Avaliação da análise da onda de pulso em gestantes e sua associação com doenças hipertensivas da gestação | Identificação e análise dos principais biomarcadores vasculares não invasivos utilizados na predição precoce de pré-eclâmpsia | Análise crítica da aplicabilidade clínica dos biomarcadores vasculares não invasivos na predição de pré-eclâmpsia
GEORGE AZEVEDO LEMOS,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,4,4.0,Odontologia,PVCB5221-2026,Edital 01 Pibic Ufal 2026-2027,98380674; 98380681; 98380691; 98380696,"Impacto das fraturas faciais sobre os custos de saúde na perspectiva do SUS relacionados à assistência hospitalar em um período de 10 anos | Impacto das fraturas faciais sobre os custos de saúde na perspectiva do SUS relacionados à assistência ambulatorial em um período de 10 anos | Associações entre indicadores socioeconômicos, custos e frequência de procedimentos ambulatoriais e hospitalares relacionados as fraturas faciais | Impacto das fraturas faciais sobre os custos de saúde relacionados à assistência ambulatorial e hospitalar no Estado de Alagoas em um período de 10 anos"
GILBERTO COSTA JUSTINO,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,2,0.0,Botânica,PVCB5067-2026,Edital 01 Pibic Ufal 2026-2027,98380368; 98380374,Efeitos de microplásticos sobre a nodulação e o crescimento de plantas jovens de Inga Edulis (Mart.) (Fabaceae) | Efeitos de microplásticos sobre aspectos fisiológicos de plantas jovens de Inga Edulis (Mart.)
IRAMIRTON FIGUEREDO MOREIRA,FACULDADE DE MEDICINA,FAMED,FAMED,1,0.0,Medicina,PVFM5226-2026,Edital 01 Pibic Ufal 2026-2027,98380687,Avaliação da prevalência de alergias alimentares em crianças de idade pre-escolar e escolar acompanhados nos ambulatórios do Hospital Universitário Professor Alberto Antunes.
IVAN ROMERO RIVERA,FACULDADE DE MEDICINA,FAMED,FAMED,2,0.0,Medicina,PIFM5548-2026,Edital 01 Pibic Ufal 2026-2027,98381758; 98381759,"Compilação dos dados bibliográficos, organização e foco na análise da relação da Velocidade da Onda de Pulso e taxas de Fibrilação atrial pós-operatória e complicações renais após revascularização miocárdica | Aplicação de estratégias de busca bibliográfica, organização e foco na análise da relação da Velocidade da Onda de Pulso e mortalidade por todas as causas após revascularização miocárdica"
JAMYLLE NUNES DE SOUZA FERRO,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,2,2.0,Farmacologia,PVCB5331-2026,Edital 01 Pibic Ufal 2026-2027,98380916; 98380932,Estabelecimento das condições de transição epitélio-mesenquimal em linhagem de células de câncer de mama humano em modelo 3D | Estabelecimento das condições de transição epitélio-mesenquimal em linhagem de células de câncer de mama humano em modelo 2D
JOAO ALBERTO FARINELLI PANTALEAO,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,1,0.0,Zoologia,PVCB5064-2026,Edital 03 Pibiti Ufal 2026-2027,98380358,"O camarão ornamental NEOCARIDINA DAVIDI (Bouvier, 1904) como alternativa a modelos experimentais com animais vertebrados"
JOSE HUMBERTO BELMINO CHAVES,FACULDADE DE MEDICINA,FAMED,FAMED,1,0.0,Medicina,PVFM5539-2026,Edital 01 Pibic Ufal 2026-2027,98381369,Análise epidemiológica das pacientes com lesões precursoras e câncer de endométrio em Alagoas (1998–2026)
