model_id,entity_type,entity_id,space,topic_id,weight,analyzed_at
semv2-efe88180e47a6fc1,project,PVCB4778-2026,domain,5,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4778-2026,domain,6,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4778-2026,domain,7,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4778-2026,domain,8,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4778-2026,domain,9,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4778-2026,domain,10,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4778-2026,domain,11,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4778-2026,domain,12,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4778-2026,domain,13,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4785-2026,domain,0,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4785-2026,domain,1,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4785-2026,domain,2,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4785-2026,domain,3,0.9939683654853958,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4785-2026,domain,4,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4785-2026,domain,5,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4785-2026,domain,6,0.0060316345146042465,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4785-2026,domain,7,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4785-2026,domain,8,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4785-2026,domain,9,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4785-2026,domain,10,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4785-2026,domain,11,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4785-2026,domain,12,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4785-2026,domain,13,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4786-2026,domain,0,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4786-2026,domain,1,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4786-2026,domain,2,1.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4786-2026,domain,3,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4786-2026,domain,4,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4786-2026,domain,5,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4786-2026,domain,6,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4786-2026,domain,7,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4786-2026,domain,8,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4786-2026,domain,9,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4786-2026,domain,10,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4786-2026,domain,11,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4786-2026,domain,12,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4786-2026,domain,13,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4791-2026,domain,0,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4791-2026,domain,1,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4791-2026,domain,2,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4791-2026,domain,3,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4791-2026,domain,4,0.0,2026-09-04T06:34:12+00:00
