entity_type,entity_id,tfidf_similarity,lsa_similarity,bm25_similarity,combined_score,cluster_id,x,y,analyzed_at
opportunity,98380559,0.104804220408291,0.580579936779712,0.2934707076681893,0.6654722089504699,0,-0.17993972910066847,-0.14520471875295615,2026-09-04T06:34:12+00:00
opportunity,98380566,0.12318846052121743,0.6680855511345738,0.43454256343918224,0.9155522768425994,0,-0.1876025665039348,-0.16716260155167434,2026-09-04T06:34:12+00:00
opportunity,98380604,0.07013005305645985,0.24171760582166893,0.03548454181187342,0.4316678179445852,6,0.05170851968735711,-0.11678902880381724,2026-09-04T06:34:12+00:00
opportunity,98380608,0.08192917985840673,0.27042536580199766,0.34387135447168526,0.44807189839522044,8,-0.10070916762002373,0.07761902357649647,2026-09-04T06:34:12+00:00
opportunity,98380609,0.06825493061107599,0.24933656011952327,0.05015119293428556,0.30163499516330666,6,0.05170851968735711,-0.11678902880381724,2026-09-04T06:34:12+00:00
opportunity,98380628,0.0660798950172286,0.2634971117092846,0.03021622752766819,0.2906361619919811,3,0.01061990733729162,0.16507923427672647,2026-09-04T06:34:12+00:00
opportunity,98380669,0.14382082795849813,0.5007523739276794,0.5499492342719101,0.7454537871204537,8,-0.172397074811722,0.06900133812796162,2026-09-04T06:34:12+00:00
opportunity,98380674,0.08019334542187316,0.2935990954035717,0.2100852357894186,0.6981699751861042,0,-0.042241453963457985,-0.10206284210662663,2026-09-04T06:34:12+00:00
opportunity,98380675,0.12544185354489243,0.4754866873054617,0.3541428277858955,0.5179573173914924,8,-0.172397074811722,0.06900133812796162,2026-09-04T06:34:12+00:00
opportunity,98380679,0.06934419415591117,0.2626493351156941,0.19540238785330855,0.29853530148481966,8,-0.10070916762002373,0.07761902357649647,2026-09-04T06:34:12+00:00
opportunity,98380681,0.0805357649024351,0.2968241753573104,0.20602202723482854,0.7179246265067162,0,-0.042241453963457985,-0.10206284210662663,2026-09-04T06:34:12+00:00
opportunity,98380687,0.06975569008128224,0.27684695543160215,0.07590476429733295,0.35865457620268665,0,-0.12150667060924962,-0.09857428246660034,2026-09-04T06:34:12+00:00
opportunity,98380691,0.12059329814001284,0.3007379016564688,1.0,0.8504696745826107,0,-0.042241453963457985,-0.10206284210662663,2026-09-04T06:34:12+00:00
opportunity,98380696,0.0807113282727248,0.2953971164335575,0.21280729210912772,0.6886162833150785,0,-0.042241453963457985,-0.10206284210662663,2026-09-04T06:34:12+00:00
opportunity,98380702,0.08271253017902207,0.4086178993110079,0.16772206422560068,0.4164988406342044,1,0.16975659446482738,0.025043891535158586,2026-09-04T06:34:12+00:00
opportunity,98380703,0.1184293814037858,0.6794716140362643,0.43958047670065287,0.817155791641551,0,-0.06545180589935755,-0.029382062124332562,2026-09-04T06:34:12+00:00
opportunity,98380741,0.1603386431232808,0.5230602959983589,0.9934371574364246,0.9584858354011581,0,-0.1990295017023755,-0.11468949504324777,2026-09-04T06:34:12+00:00
opportunity,98380750,0.16585365065015928,0.5679475298789064,0.886972860172211,0.8701197438039544,0,-0.1990295017023755,-0.11468949504324777,2026-09-04T06:34:12+00:00
opportunity,98380903,0.12443671482776605,0.5388216646616042,0.39681755641659777,0.7341890959282265,0,-0.03205463241415724,-0.06051813810645596,2026-09-04T06:34:12+00:00
opportunity,98380915,0.051489850508628816,0.18161534730326165,0.0,0.25071390388351217,1,0.2877534956491075,0.027634813654436485,2026-09-04T06:34:12+00:00
opportunity,98380916,0.06962205544770193,0.25840708329997103,0.08866583708494119,0.3245589910796917,1,0.13903501398971457,0.04698774777223774,2026-09-04T06:34:12+00:00
opportunity,98380922,0.05737850745521604,0.18781713552057958,0.05257009304387394,0.26208877553649174,1,0.2877534956491075,0.027634813654436485,2026-09-04T06:34:12+00:00
opportunity,98380932,0.058869295583520324,0.22518276902793966,0.021556683918462608,0.29118694577662285,1,0.13903501398971457,0.04698774777223774,2026-09-04T06:34:12+00:00
opportunity,98380943,0.054786619625186134,0.24774723920440087,0.07522569729590256,0.27960913112587854,3,0.013473693082632986,0.13776741702228967,2026-09-04T06:34:12+00:00
opportunity,98380963,0.06865445658410584,0.27675365918472894,0.04070619149360622,0.29129388973274883,3,0.007045558649037975,0.15321238924915842,2026-09-04T06:34:12+00:00
opportunity,98380972,0.07702290801528913,0.48924056983213693,0.08329934255166466,0.40704063587958716,8,-0.11283196928771219,0.0983952893419167,2026-09-04T06:34:12+00:00
opportunity,98380977,0.06575673307370072,0.2271083885931642,0.11033709820151692,0.30896137939204454,1,0.15808794763855977,0.010600252806463597,2026-09-04T06:34:12+00:00
opportunity,98380980,0.05738615098167424,0.20094722480581342,0.015116051847205356,0.26558120116896283,1,0.15808794763855977,0.010600252806463597,2026-09-04T06:34:12+00:00
opportunity,98380981,0.060142858937413855,0.2582931190385925,0.022749456245283992,0.3265843581077989,3,0.007045558649037975,0.15321238924915842,2026-09-04T06:34:12+00:00
opportunity,98380998,0.06978878860117957,0.2782930604053809,0.17272594538289135,0.3158331682841487,1,0.1270302361715692,0.019489572598211893,2026-09-04T06:34:12+00:00
