id_opportunity,status,raw_status,applied_at,synced_at
98381489,applied,applied,2026-09-02T23:35:09.625964,2026-09-04T05:11:57+00:00
98381501,applied,applied,2026-09-02T23:35:18.297924,2026-09-04T05:11:57+00:00
98381308,applied,applied,2026-09-02T23:35:27.117714,2026-09-04T05:11:57+00:00
98381326,applied,applied,2026-09-02T23:35:35.393207,2026-09-04T05:11:57+00:00
98381340,applied,applied,2026-09-02T23:35:43.663104,2026-09-04T05:11:57+00:00
98381366,applied,applied,2026-09-02T23:35:51.903671,2026-09-04T05:11:57+00:00
98380118,applied,applied,2026-09-02T23:35:59.678396,2026-09-04T05:11:57+00:00
98380140,applied,applied,2026-09-02T23:36:08.013727,2026-09-04T05:11:57+00:00
98380146,applied,applied,2026-09-02T23:36:16.067583,2026-09-04T05:11:57+00:00
98380007,applied,applied,2026-09-02T23:36:24.169176,2026-09-04T05:11:57+00:00
98380628,applied,applied,2026-09-02T23:36:32.421790,2026-09-04T05:11:57+00:00
98379902,applied,applied,2026-09-02T23:36:40.114173,2026-09-04T05:11:57+00:00
98379953,applied,applied,2026-09-02T23:36:47.963760,2026-09-04T05:11:57+00:00
98380516,applied,applied,2026-09-02T23:36:56.122769,2026-09-04T05:11:57+00:00
98380608,applied,applied,2026-09-02T23:37:03.985609,2026-09-04T05:11:57+00:00
98380679,applied,applied,2026-09-02T23:37:12.475346,2026-09-04T05:11:57+00:00
98380702,applied,applied,2026-09-02T23:37:20.488775,2026-09-04T05:11:57+00:00
98381541,applied,applied,2026-09-02T23:37:28.658584,2026-09-04T05:11:57+00:00
98381544,applied,applied,2026-09-02T23:37:36.749244,2026-09-04T05:11:57+00:00
98381627,applied,applied,2026-09-02T23:37:44.796494,2026-09-04T05:11:57+00:00
98380362,applied,applied,2026-09-02T23:37:52.796332,2026-09-04T05:11:57+00:00
98381431,applied,applied,2026-09-02T23:38:00.683125,2026-09-04T05:11:57+00:00
98381468,applied,applied,2026-09-02T23:38:08.654846,2026-09-04T05:11:57+00:00
98381077,applied,applied,2026-09-02T23:38:16.791178,2026-09-04T05:11:57+00:00
98381089,applied,applied,2026-09-02T23:38:24.910773,2026-09-04T05:11:57+00:00
